Geneid	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
SSPN	120	160	75	77	98	81	83	75	64	56
AC022509.3	151	153	147	134	27	25	128	105	100	82
AC022509.2	0	1	0	0	10	30	0	0	0	0
AC022509.1	0	0	0	0	3	0	0	0	1	1
AC022509.4	0	0	0	0	0	0	1	0	5	2
AC055720.1	0	0	0	0	0	0	0	0	0	0
AC024145.1	0	0	0	0	0	0	0	0	0	1
AC055720.2	0	1	1	0	1	1	0	0	0	0
ITPR2	109	173	76	87	67	155	61	82	75	139
RNA5SP354	0	0	0	0	0	0	0	0	0	0
AC023051.1	0	0	0	0	0	0	0	0	0	0
AC023051.2	0	0	0	0	0	0	0	0	1	0
INTS13	392	229	315	284	394	355	285	300	201	223
FGFR1OP2	269	229	201	228	975	923	419	454	344	485
AC024896.1	62	28	81	62	71	55	53	32	68	61
TM7SF3	1252	1032	1796	1846	1590	1664	1163	1137	1927	1840
MED21	197	271	299	243	727	674	317	275	294	253
AC092747.4	37	29	14	33	46	36	77	39	58	46
C12orf71	0	0	0	0	0	0	0	0	1	0
AC092747.3	0	0	0	0	0	0	0	0	0	0
AC092747.1	0	0	0	0	1	0	0	0	0	0
AC092747.2	0	1	0	0	0	0	0	0	2	0
STK38L	564	599	653	567	2152	1858	999	1057	719	959
ARNTL2	243	276	304	229	1021	761	316	334	164	243
ARNTL2-AS1	0	0	0	0	8	0	0	0	0	0
SMCO2	0	0	0	2	8	1	1	0	3	3
RARSP1	0	0	0	0	0	0	0	0	0	0
PPFIBP1	275	264	232	172	219	245	398	308	220	241
AC087257.1	0	0	0	0	3	0	0	0	0	0
AC087257.2	1	0	0	0	0	0	0	0	0	0
AC009509.3	0	0	0	0	0	0	0	0	0	0
AC009509.1	0	0	0	0	8	19	2	0	0	0
REP15	0	7	0	0	1	0	1	0	0	0
AC009509.4	0	0	0	0	0	0	0	0	0	0
HMGB1P49	0	0	0	0	0	0	0	0	0	0
AC009509.2	0	0	0	0	0	0	0	0	0	0
MRPS35	1255	1343	1491	1427	1433	1322	1281	1304	1222	1467
MANSC4	0	0	0	0	0	0	2	0	0	0
AC009511.2	0	0	0	0	0	0	3	0	2	0
KLHL42	234	260	231	258	328	279	563	477	415	577
AC009511.1	0	0	0	0	0	0	0	0	0	0
RN7SKP15	0	0	0	0	0	0	0	0	0	0
AC008011.1	0	0	0	0	0	0	0	0	0	0
PTHLH	0	0	1	2	2	2	0	0	1	4
AC008011.2	0	0	0	0	0	0	0	0	0	0
CCDC91	187	205	245	191	327	375	181	184	173	266
AC022364.1	2	2	0	0	0	0	2	0	3	1
AC022364.2	0	0	0	0	0	0	0	0	0	0
AC022079.2	0	0	0	0	0	0	0	0	0	0
AC022079.1	0	0	0	0	1	1	0	1	1	0
RNU4-54P	0	0	0	0	0	0	0	0	0	0
RNA5SP355	0	0	0	0	0	0	0	0	0	0
AC084754.1	0	0	0	0	0	0	0	1	0	1
AC022081.1	0	0	0	0	0	0	0	0	0	0
AC024255.1	0	0	0	0	0	0	0	0	0	0
AC012150.1	0	0	0	0	0	0	0	3	0	0
FAR2	659	781	1023	1102	1234	1193	937	993	922	1347
AC012150.2	0	0	0	0	2	1	0	0	1	0
AC009318.4	0	0	0	0	1	1	0	2	0	1
AC009318.1	1	0	0	0	23	5	4	3	5	0
AC009318.3	1	1	0	3	1	7	3	2	4	2
AC009318.2	1	3	1	0	7	3	2	4	7	8
ERGIC2	594	508	543	533	1420	1177	539	609	516	552
OVCH1-AS1	3	2	16	8	50	46	1	3	2	2
OVCH1	0	0	0	0	5	5	0	0	0	0
TMTC1	0	0	0	1	0	0	2	1	0	0
AC009320.1	0	0	0	0	0	0	0	0	0	0
RPL21P99	0	0	0	0	0	0	0	0	0	0
AC023511.2	0	0	0	0	0	0	0	0	0	0
AC023511.1	0	0	0	0	0	0	0	0	0	0
LINC02386	0	0	0	0	0	0	0	0	0	1
AC078776.2	0	0	0	0	0	0	0	0	0	0
RNA5SP356	0	0	0	0	0	0	0	0	0	0
AC078776.1	0	0	0	0	0	0	0	0	0	0
AC026371.1	0	0	0	0	0	0	0	0	0	0
IPO8	1210	1159	1298	1134	799	793	862	857	713	757
AC012673.1	0	0	0	0	0	0	0	0	0	0
CAPRIN2	76	67	94	69	260	161	219	181	139	73
AC010198.1	0	0	0	1	0	0	0	0	0	0
LINC00941	80	85	99	71	85	87	27	36	39	34
PPIAP44	0	0	0	0	0	0	0	0	0	0
TSPAN11	2	5	1	1	9	17	6	3	3	2
AC008013.1	2	0	2	3	5	4	10	7	1	2
AC008013.2	0	0	0	0	0	2	0	0	0	0
DDX11-AS1	5	4	6	2	2	5	4	5	1	1
DDX11	371	391	243	308	131	164	586	534	443	417
AC008013.3	0	0	0	0	0	0	0	0	0	0
AC024940.1	4	10	11	11	75	92	24	21	15	64
AC024940.4	0	0	0	0	0	0	0	0	0	0
AC024940.2	0	0	0	0	0	1	1	1	1	2
MREGP1	0	0	0	0	0	0	0	0	0	0
AC024940.5	0	3	0	0	1	2	0	0	1	0
SINHCAF	2333	1989	2038	1884	2012	1635	2803	2403	1768	1857
AC024940.3	0	0	0	0	6	5	0	0	0	0
FLJ13224	0	0	0	0	2	2	2	1	0	2
LINC02387	3	3	1	2	5	12	2	2	4	0
DENND5B	155	295	175	251	358	629	368	395	384	650
RNU6-618P	0	0	0	0	0	1	0	0	0	0
AC068792.1	1	3	0	0	2	2	6	7	1	7
AC022080.1	0	0	0	0	5	0	0	0	2	1
AC022080.3	0	0	0	0	0	0	0	0	0	0
AC022080.2	0	0	0	0	4	0	0	0	0	0
DENND5B-AS1	1	2	0	2	0	1	1	3	0	2
RNU5F-4P	0	0	0	0	0	0	0	0	0	0
RPL31P50	0	0	0	0	0	0	0	0	0	0
AK4P3	3	1	1	1	0	0	1	0	1	2
ETFBKMT	26	31	36	16	32	33	40	70	26	51
AMN1	101	104	98	102	276	262	95	76	116	91
STMN1P1	0	0	0	0	0	0	0	0	0	1
AC023157.3	26	44	9	15	38	23	34	23	28	15
AC023157.2	5	8	3	6	21	19	1	2	8	9
AC023157.1	3	1	0	0	10	10	1	2	3	0
H3F3C	1	1	3	1	1	3	0	1	0	1
RNU6-1069P	0	0	0	0	0	0	0	0	0	0
AC023050.2	0	0	0	0	0	0	0	0	0	0
LINC02422	0	0	0	0	0	0	0	0	0	0
AC023050.3	0	0	0	0	0	0	0	0	0	0
AC023050.1	0	0	0	0	0	0	0	0	0	2
RPL12P32	0	0	0	0	0	0	0	0	0	0
AC023050.4	0	0	0	0	0	0	0	0	0	0
KIAA1551	393	410	394	345	1449	1068	1008	954	674	909
AC016957.2	0	0	0	1	1	0	2	0	3	0
AC016957.1	0	0	0	0	0	0	0	0	0	0
AC048344.2	0	0	0	0	0	0	0	0	0	0
AC048344.3	0	0	0	0	0	0	1	0	0	0
AC048344.1	0	0	0	0	0	0	0	0	0	0
BICD1	46	64	33	37	16	29	29	19	18	16
AC048344.4	0	0	0	1	0	0	0	0	0	0
AC016954.1	0	0	0	0	1	0	0	0	0	0
AC026356.1	2	3	0	1	0	3	0	0	0	0
AC026356.2	1	0	0	0	0	1	0	0	0	0
FGD4	1764	1794	1398	1400	1262	1148	1655	1516	1463	1695
RNU6-494P	0	0	0	0	0	0	0	0	1	0
DNM1L	595	592	698	704	844	892	385	372	412	432
AC084824.2	0	0	0	0	0	0	0	0	0	0
AC084824.5	2	0	1	1	4	2	2	8	8	5
AC084824.1	13	3	1	4	7	13	6	13	11	5
YARS2	410	403	268	327	426	487	225	261	223	238
AC084824.3	1	0	0	0	2	3	2	2	1	2
AC084824.4	4	2	1	0	7	9	3	7	4	1
PKP2	3845	3947	3194	2987	1124	1222	2535	2155	2770	1941
AC087588.2	27	28	10	11	2	3	15	7	10	10
AC087588.1	0	1	0	0	0	0	0	0	0	0
AC087311.1	0	0	0	0	0	0	0	0	0	1
AC087311.2	0	1	0	0	0	0	0	0	0	0
SYT10	0	0	0	0	0	0	0	0	0	0
AC023158.1	0	0	0	0	0	0	0	0	0	0
AC023158.2	0	0	0	0	0	0	0	0	0	0
AC016956.1	0	0	0	0	0	0	0	0	0	0
RNU6-400P	0	0	0	0	0	0	0	0	0	0
AC024153.1	0	0	0	0	0	0	0	0	0	0
RNU6-472P	0	0	0	0	0	0	0	0	0	0
ALG10	40	25	36	42	53	22	39	44	15	25
AC046130.1	0	0	0	0	0	1	0	0	0	0
AC046130.2	0	0	0	0	0	0	0	0	0	0
AC140847.1	0	0	0	0	0	0	0	0	0	0
AC140847.3	0	0	0	0	0	0	0	0	0	0
TUBB8P4	0	0	0	0	0	0	0	0	0	0
AC140847.2	0	0	0	0	0	0	0	0	0	0
RNA5SP357	0	0	0	0	0	0	0	0	0	0
DUX4L27	0	0	0	0	0	0	0	0	0	0
AK6P1	0	0	0	0	0	0	0	0	0	1
ZNF970P	0	0	0	0	0	0	0	0	0	0
AK6P2	0	0	0	0	0	0	0	0	0	0
CLUHP8	0	0	0	0	0	0	0	0	0	0
RNA5SP358	0	0	0	0	0	0	0	0	0	0
RNA5SP359	0	0	0	0	0	0	0	0	0	0
TUBB8P5	0	0	0	0	0	0	0	0	0	0
AC117372.1	0	0	0	0	0	0	0	0	0	0
NF1P12	0	0	0	0	0	0	0	0	0	0
ALG10B	62	62	65	61	101	63	185	156	82	84
AC087897.1	0	0	0	0	0	0	0	0	0	0
AC087897.2	0	0	0	0	0	0	0	0	0	0
CPNE8	102	92	14	16	243	156	191	163	9	9
CPNE8-AS1	0	1	0	0	1	1	0	1	0	1
AC018448.2	0	0	0	0	0	0	0	0	0	0
AC018448.1	0	0	0	0	0	0	0	0	0	0
LINC02406	0	0	0	0	0	0	0	0	0	0
AC084373.1	0	0	0	0	0	0	0	0	0	0
KIF21A	356	413	405	411	265	329	215	236	210	183
AC121334.1	0	0	0	0	0	0	0	0	0	0
AC121334.2	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0
AC121334.3	0	0	0	0	0	0	0	0	0	1
C12orf40	0	0	0	0	0	0	0	0	1	0
SLC2A13	1132	1199	1074	961	1550	1194	1522	1541	1330	1536
RF00414	0	0	0	0	0	0	0	0	0	0
RPL30P13	0	0	0	0	0	1	0	0	0	0
LINC02555	0	0	0	0	0	0	0	0	0	0
LINC02471	0	0	0	0	0	0	0	1	2	1
AC079630.1	0	0	0	0	0	0	0	0	0	0
LRRK2	0	0	0	0	0	0	0	0	0	0
AC084290.1	0	0	0	0	0	0	0	0	0	0
MUC19	0	0	0	0	3	2	2	0	3	0
AC107023.1	0	0	0	0	0	0	0	0	0	0
RNU6-713P	0	0	0	0	0	0	0	0	0	0
CNTN1	0	0	0	0	0	0	0	0	0	0
AC016144.1	0	0	0	0	0	0	0	0	0	0
AC015540.1	0	0	0	0	0	0	0	0	0	0
PDZRN4	0	0	0	0	0	0	1	0	0	0
AC090531.1	0	0	0	0	0	0	0	0	0	0
RNA5SP360	0	0	0	0	0	0	0	0	0	0
MTND2P17	0	0	0	0	0	0	0	0	0	0
MTND1P24	0	0	0	0	0	0	0	0	0	0
LINC02400	0	0	0	0	0	0	0	0	0	0
AC090630.1	0	0	0	0	0	0	0	0	0	0
AC006197.1	0	0	0	0	0	0	0	0	0	0
AC023513.1	0	0	0	0	0	0	0	0	0	0
GXYLT1	241	253	180	192	397	470	500	458	303	423
YAF2	104	121	143	166	195	196	199	175	126	136
PPHLN1	664	673	582	593	1070	922	762	814	752	890
AC020629.1	0	0	0	1	0	0	0	0	0	0
ZCRB1	544	543	533	595	1042	875	889	892	741	852
MIR7851	0	0	0	0	0	1	0	1	2	1
AC079684.1	2	2	0	0	12	3	14	9	5	1
RNU6-249P	0	0	0	0	0	0	0	0	0	0
AC079601.2	0	0	0	0	2	0	3	1	1	0
PRICKLE1	2	0	0	0	0	0	0	0	1	0
AC079601.1	0	0	0	0	0	0	0	0	0	0
AC079600.3	0	0	0	0	0	0	0	2	0	2
LINC02402	0	0	0	0	0	0	0	0	0	0
AC079600.2	0	0	0	0	0	0	0	0	0	0
AC079600.1	0	0	0	0	0	0	0	0	0	0
LINC02451	0	0	0	0	0	0	0	0	0	0
RPS27P21	0	0	0	0	0	0	0	0	0	0
LINC02450	0	0	0	0	0	0	0	0	0	0
AC068802.1	0	0	0	0	0	0	0	0	0	0
AC012038.2	0	0	0	0	0	0	0	0	0	0
AC012038.1	0	0	0	0	0	0	0	0	0	0
MRPS36P5	0	0	0	0	0	0	0	0	0	0
LINC02461	0	0	0	0	0	0	0	0	0	0
ADAMTS20	0	0	0	0	2	0	2	3	0	1
AC090525.1	0	0	0	0	0	0	0	0	0	0
AC090525.2	0	0	0	0	0	0	0	0	0	0
AC090525.3	0	0	0	0	0	0	0	0	0	0
EEF1A1P17	0	0	0	0	0	0	0	0	0	0
PUS7L	199	224	181	140	303	363	189	180	213	237
AC093012.1	0	0	3	0	2	0	0	0	1	0
IRAK4	282	336	298	314	464	533	371	350	331	377
TWF1	4060	3608	4378	4020	10089	9423	4112	4170	4470	5555
TMEM117	66	82	55	105	129	157	82	76	71	106
ZNF75BP	0	0	0	0	0	0	0	0	0	0
AC025030.2	0	0	0	0	0	0	0	0	0	0
AC025030.1	0	0	0	0	0	0	0	0	0	0
AC025253.1	0	0	0	0	0	0	0	0	0	0
NELL2	24	27	209	154	383	163	208	362	570	712
DBX2	0	0	0	0	0	0	0	0	0	0
AC008127.1	0	0	0	0	0	0	0	0	0	0
RACGAP1P	0	0	0	0	0	0	0	0	0	0
AC008127.2	0	0	0	0	0	0	0	0	0	0
RNA5SP361	0	0	0	0	0	0	0	0	0	0
PLEKHA8P1	42	23	6	8	21	14	35	36	35	45
AC009248.1	0	0	0	0	0	0	0	0	0	0
ANO6	3066	2314	2382	2153	990	839	3623	2839	2446	2188
AC009248.2	0	0	0	0	0	0	0	0	0	0
AC063924.1	0	0	0	0	0	0	0	0	0	0
AC079950.1	0	0	0	0	0	0	0	0	0	0
AC008124.1	200	229	293	280	309	305	383	425	357	438
ARID2	509	462	585	582	359	338	502	417	438	495
AC009464.1	0	0	0	0	0	0	0	0	0	0
RN7SL246P	0	0	0	0	0	0	0	0	0	0
KNOP1P2	0	0	0	0	1	0	2	0	0	0
SCAF11	1962	1903	1718	1687	1574	1575	1799	1594	1482	1726
AC084878.1	0	0	0	0	0	0	0	0	0	0
SLC38A1	6708	8858	7876	7749	3577	4480	7407	6693	7362	9675
AC025031.3	0	0	0	0	1	0	0	0	1	0
SLC38A2	2906	4703	3263	3134	4134	4625	6084	5854	7501	8699
AC025031.2	1	0	0	1	2	1	2	1	2	4
AC008014.1	40	37	26	30	30	43	65	67	58	91
AC025031.1	0	0	0	0	0	0	0	0	1	0
AC025031.4	3	1	2	0	4	1	1	3	1	1
AC025031.5	0	0	2	0	5	0	0	0	0	0
AC008035.1	8	4	0	7	7	15	3	4	19	8
OR7A19P	0	0	0	0	0	0	0	0	0	0
MARK3P1	0	0	0	0	0	0	0	0	0	0
SLC38A4	3	1	7	26	11	19	10	36	13	48
AC079906.1	0	0	0	0	0	0	2	1	1	3
AMIGO2	1085	840	875	781	1094	572	2539	1831	1560	1391
PCED1B	353	343	387	380	164	96	380	280	281	237
AC119044.1	0	0	0	0	9	1	0	0	1	0
MIR4698	0	0	0	0	0	0	0	0	0	0
PCED1B-AS1	3	1	0	7	9	12	22	10	3	8
AC008083.1	1	1	2	0	22	7	25	36	11	31
AC008083.2	3	0	2	1	0	0	10	1	6	4
AC008083.3	0	0	0	0	0	0	0	0	0	0
PPIAP45	0	0	0	0	0	0	0	0	0	0
LINC02416	0	0	0	0	0	0	6	2	1	5
MIR4494	0	0	0	0	0	0	0	0	0	0
LINC02156	0	0	0	0	0	0	0	0	0	0
ADI1P3	0	0	0	0	0	0	0	0	0	0
AC003686.1	0	0	0	0	0	0	0	0	0	0
AC004486.1	0	0	0	0	0	0	0	0	0	0
RPAP3	181	173	209	195	469	379	302	292	262	315
AC004241.3	0	0	2	3	2	4	0	1	2	0
AC004241.1	5	7	1	0	5	9	15	7	9	2
ENDOU	0	1	2	0	1	0	1	2	0	1
AC004241.5	3	6	1	0	2	0	3	4	1	1
AC004241.2	0	0	0	0	0	3	2	2	0	0
RAPGEF3	123	90	142	155	59	46	120	79	61	35
SLC48A1	166	223	317	280	109	118	141	109	106	65
AC004241.4	0	0	0	0	0	2	0	0	0	0
HDAC7	631	456	468	381	506	419	347	275	242	154
AC004466.1	0	0	0	0	0	0	1	0	1	0
AC004466.3	0	0	0	0	1	0	2	1	0	0
AC004466.2	0	0	0	0	1	0	0	0	1	0
LINC02354	0	0	0	0	0	1	0	3	1	2
VDR	2259	4376	3685	4598	921	1986	1186	1379	1785	2089
AC121338.1	0	0	0	0	0	1	0	1	1	3
AC121338.2	5	15	5	6	3	21	11	10	13	19
AC004801.7	0	0	0	0	0	0	0	0	0	0
TMEM106C	1869	2340	1925	2219	4195	5321	2161	2508	2221	3779
COL2A1	14	5	1	2	0	3	0	2	0	2
AC004801.5	0	0	0	0	0	1	0	0	0	0
AC004801.4	0	0	0	0	0	0	0	1	0	0
AC004801.3	0	0	0	0	0	3	0	2	0	5
AC004801.6	3	0	2	10	2	3	7	12	4	5
SENP1	185	239	280	264	304	315	306	297	220	303
AC004801.2	0	0	0	0	2	0	1	0	0	0
RNU6-1203P	0	0	0	0	0	3	0	0	0	0
AC004801.1	0	0	0	0	0	1	1	0	1	0
PFKM	450	494	529	503	147	187	219	202	256	216
MIR6505	0	0	0	0	0	0	0	0	0	0
ASB8	348	436	421	464	317	402	524	502	432	521
AC074029.3	0	0	0	0	0	1	0	0	1	0
AC074029.2	0	0	0	0	0	0	0	0	0	0
PHBP18	0	0	0	0	0	0	0	0	0	0
AC074029.1	0	0	0	0	0	0	0	0	0	0
CCDC184	0	0	0	0	0	0	0	0	0	0
AC074029.4	0	0	0	0	0	0	0	0	0	0
AC024257.3	0	0	0	0	1	1	0	1	0	3
OR10AD1	0	0	0	0	0	0	0	0	0	0
AC024257.1	0	0	0	0	0	0	0	0	0	0
AC024257.5	0	0	0	0	0	0	0	0	0	0
H1FNT	0	0	0	0	0	0	0	0	0	0
AC024257.2	0	0	0	0	0	0	0	0	0	0
ZNF641	31	79	63	46	75	96	52	64	36	42
AC090115.1	0	0	0	0	0	0	0	0	0	0
OR5BK1P	0	0	0	0	0	0	2	1	0	0
AC024257.4	0	0	0	1	0	0	0	0	0	0
OR5BT1P	0	0	0	0	0	0	0	0	0	0
OR5BJ1P	0	0	0	0	0	0	0	0	0	0
OR8S21P	0	0	0	0	0	0	0	0	0	0
OR8T1P	0	0	0	0	0	0	0	1	0	0
ANP32D	0	0	0	0	0	0	0	0	0	0
C12orf54	0	0	0	0	0	0	0	0	0	0
AC089987.2	0	0	0	0	0	0	0	0	0	0
RPS10P20	0	0	0	0	0	0	0	0	0	0
AC089987.1	0	0	0	0	0	0	0	0	0	0
OR8S1	0	0	0	0	0	0	0	0	0	0
OR5BS1P	0	0	0	0	0	0	0	0	0	0
LALBA	0	0	0	0	0	0	0	0	0	0
OR11M1P	0	0	0	0	0	0	0	0	0	0
KANSL2	130	168	177	169	246	281	308	297	309	311
SNORA2C	0	0	0	0	0	9	1	0	0	0
MIR1291	0	0	0	0	0	0	0	0	0	0
SNORA2A	0	0	0	0	0	0	0	0	1	0
SNORA2B	0	0	0	0	1	0	0	0	0	0
CCNT1	969	997	971	887	1352	939	1066	1033	1019	1196
TEX49	0	0	0	0	2	4	0	0	0	0
AC117498.1	0	0	0	0	0	0	0	0	0	0
ADCY6	2553	2628	2727	2569	2006	1949	2600	2312	2387	2455
MIR4701	0	0	0	0	8	7	2	3	0	0
AC117498.2	5	10	14	14	6	11	12	7	16	6
AC117498.3	2	0	0	0	1	0	2	0	1	0
CACNB3	796	582	588	503	357	280	479	402	392	241
DDX23	2251	2102	2217	2014	1099	1138	1307	1128	1000	942
RND1	101	140	116	84	238	142	222	163	109	86
RNU6-600P	0	0	0	0	0	0	0	0	0	0
AC073610.1	0	4	3	0	0	0	0	0	0	1
AC073610.3	2	0	2	2	0	2	1	3	1	1
CCDC65	11	14	9	0	25	16	11	5	9	13
FKBP11	72	80	73	79	71	93	43	65	57	85
AC073610.2	0	0	0	0	0	0	0	0	0	0
ARF3	6481	6854	5174	5176	2990	2909	3265	3014	4454	4174
WNT10B	3	3	4	0	5	0	8	3	2	5
RNU6-940P	0	0	0	0	0	0	0	0	0	0
WNT1	0	7	6	3	1	0	0	0	0	0
DDN	15	13	6	11	0	8	5	8	8	12
AC011603.3	0	0	0	0	0	0	0	0	0	0
DDN-AS1	3	3	2	4	5	2	5	6	7	6
PRKAG1	923	848	902	908	1128	978	776	772	847	871
KMT2D	2230	2468	2048	2147	1701	1516	1305	1077	1331	1199
RHEBL1	8	2	0	1	2	4	6	3	1	6
AC011603.4	0	0	0	0	0	0	0	0	0	0
DHH	0	2	0	0	0	0	0	0	0	0
AC011603.1	0	0	0	0	0	0	0	0	0	0
LMBR1L	309	435	284	299	396	459	469	448	285	357
TUBA1B	3738	3581	3544	3765	2293	2227	1546	1799	1784	1703
AC011603.2	0	1	0	0	3	1	0	0	0	3
TUBA1A	31	40	42	43	218	320	33	32	13	29
TUBA1C	3385	3863	2863	3350	1615	2078	1563	1615	2075	2269
AC010173.1	0	0	2	6	0	0	0	0	0	1
AC125611.3	0	0	0	0	0	0	0	0	0	0
AC125611.4	0	1	3	0	0	0	0	0	0	0
PRPH	6	6	3	0	0	0	1	0	0	3
TROAP	227	196	277	258	30	64	122	118	47	45
C1QL4	0	1	1	0	0	0	0	0	0	0
DNAJC22	603	965	651	899	567	1310	536	565	720	984
SPATS2	261	280	286	343	211	322	246	240	175	252
AC125611.2	4	0	1	0	3	0	0	1	3	0
AC125611.1	0	0	0	0	0	1	0	0	0	1
KCNH3	2	0	0	0	5	0	0	0	1	2
MCRS1	775	835	745	752	619	576	623	585	568	481
PRPF40B	25	24	37	35	18	20	26	20	28	27
AC020612.3	0	0	0	0	6	0	0	0	0	0
FAM186B	0	0	0	1	1	0	2	2	0	1
RNU6-834P	0	0	0	0	0	0	0	0	0	0
POLR2KP1	0	0	0	0	0	0	0	0	0	0
AC020612.1	0	0	0	0	0	0	0	0	0	1
HIGD1AP9	0	0	0	0	0	0	0	0	0	0
FMNL3	0	1	4	0	2	2	4	2	0	2
TMBIM6	26501	30405	27898	29434	10503	12506	17227	15079	17416	20305
AC020612.2	0	0	0	0	0	0	0	0	0	0
LSM6P2	0	0	0	0	0	0	0	0	0	0
NCKAP5L	39	33	15	18	14	22	27	30	13	15
BCDIN3D-AS1	5	3	1	2	0	1	5	1	2	1
BCDIN3D	60	65	46	64	32	47	39	71	78	52
AC131157.1	1	0	0	0	0	0	0	0	0	0
RPL35AP28	0	0	0	0	0	0	0	0	0	0
FAIM2	289	257	207	238	4	12	24	15	73	43
LINC02396	0	0	0	0	0	0	0	0	0	0
LINC02395	0	0	0	1	1	0	0	0	0	0
AQP2	7	6	13	13	0	2	2	0	1	0
AC025154.2	29	40	70	79	2	7	1	6	5	3
AC025154.1	0	0	0	0	0	0	0	0	0	0
AQP5	526	823	1935	2659	25	67	42	34	50	38
AQP6	1	5	13	20	1	1	0	1	1	1
RACGAP1	705	736	992	1005	333	373	578	576	440	389
ASIC1	65	94	55	50	10	16	11	6	16	23
SMARCD1	761	855	737	847	306	411	421	328	440	348
GPD1	67	595	179	384	145	856	61	252	126	997
COX14	285	284	340	331	1052	1145	401	490	439	623
AC074032.1	0	2	0	0	0	5	2	1	2	2
CERS5	191	138	228	168	210	148	194	189	132	122
LIMA1	12829	12807	17182	15561	9722	9042	16104	15211	16171	20302
AC008147.2	1	3	5	0	60	31	27	14	7	20
AC008147.3	0	0	4	0	14	3	4	2	3	3
AC008147.1	0	0	0	0	5	5	0	3	3	2
MIR1293	0	0	0	0	3	0	1	3	0	0
RNU6-1093P	0	0	0	0	2	0	1	0	0	0
AC008147.4	0	1	1	0	1	1	0	0	0	1
FAM186A	0	3	0	0	4	0	0	1	0	0
AC090058.1	0	0	0	0	0	0	0	0	0	0
LARP4	905	885	958	832	1096	1059	631	683	754	931
DIP2B	3501	2774	3491	3135	1248	1290	2311	1897	1646	1566
RNU6-769P	0	0	0	0	0	0	0	0	0	0
RNU6-238P	0	0	0	0	0	0	0	0	0	0
AC013244.1	0	0	0	0	0	0	0	0	0	0
ATF1	463	481	526	458	548	478	661	687	498	567
AC013244.2	0	0	0	0	0	0	0	0	0	0
RN7SL519P	0	0	0	0	0	0	0	0	0	0
TMPRSS12	0	0	0	0	0	0	0	0	0	0
AC013244.3	0	0	0	0	0	0	0	0	0	0
METTL7A	218	745	687	1291	350	767	321	311	291	463
AC008121.2	1	1	0	0	4	0	0	0	0	1
AC008121.1	0	0	0	0	0	1	0	0	0	0
HIGD1C	0	0	0	0	0	0	0	0	0	0
AC008121.3	0	0	0	0	0	0	0	0	0	0
SLC11A2	2933	3311	2764	3168	3722	7334	9821	13543	9073	25008
RNU6-87P	0	0	0	0	0	0	0	1	0	0
RNU6-1273P	0	0	0	0	0	0	0	0	0	0
LETMD1	2534	2163	1926	1980	1388	1234	3946	3627	2998	3620
CSRNP2	376	307	360	319	475	358	497	396	354	320
TFCP2	429	469	464	491	281	260	291	275	256	336
AC087884.1	0	0	0	0	0	0	0	0	0	0
PHBP19	2	0	0	0	1	3	0	0	0	0
RNU6-199P	0	0	0	0	0	0	0	0	0	0
POU6F1	35	40	39	50	14	11	45	28	15	24
AC139768.1	1	6	2	8	3	4	9	6	2	5
DAZAP2	6538	6109	6332	5686	4019	3090	8181	6773	5782	6890
SMAGP	934	1000	876	900	511	729	597	689	672	806
BIN2	5	10	21	17	26	34	9	21	10	41
CELA1	0	0	0	0	0	0	0	0	0	0
GALNT6	1420	1669	1027	1289	595	1297	857	741	798	1033
SLC4A8	19	25	5	11	14	66	17	9	12	26
AC107031.1	0	0	0	0	0	0	0	0	0	0
SCN8A	3	4	2	4	0	4	0	1	0	4
HNRNPA3P10	0	2	4	0	0	1	1	1	0	0
AC068987.2	0	0	0	0	0	0	0	0	0	0
AC068987.5	2	4	1	1	2	8	2	5	1	2
AC068987.3	0	0	0	0	0	0	0	0	0	0
FIGNL2	0	0	0	0	0	1	0	1	0	0
AC068987.4	0	0	0	0	0	0	0	0	0	0
AC068987.1	0	0	0	0	0	0	0	0	0	1
ANKRD33	0	0	0	0	0	1	0	2	0	3
AC025259.2	0	0	0	0	7	0	0	0	2	2
ACVRL1	578	508	375	288	437	366	608	475	526	268
ACVR1B	759	984	751	764	437	554	609	501	519	562
RNU6-574P	0	0	0	0	0	0	1	2	1	0
GRASP	1	8	1	0	6	1	2	0	0	0
NR4A1	404	365	430	364	555	185	527	431	352	177
AC025259.3	0	0	1	0	4	0	0	1	0	2
ATG101	588	585	696	643	944	692	573	688	705	697
AC025259.1	0	0	0	0	0	0	0	0	0	0
OR7E47P	0	0	0	3	0	1	0	2	0	0
AC078864.1	0	0	0	0	0	0	0	3	0	4
LINC00592	5	6	1	0	5	0	3	9	4	3
KRT80	1216	866	1439	993	1991	1591	3057	2899	1797	1394
C12orf80	0	0	2	0	2	0	0	2	0	0
METTL7AP1	0	0	0	0	0	0	0	0	0	0
KRT7	3137	3131	6224	4893	1874	1079	7478	6132	709	415
KRT7-AS	8	2	6	4	44	19	44	49	12	4
KRT86	116	122	158	100	190	40	67	95	161	105
KRT87P	34	29	10	20	53	27	23	15	34	23
AC021066.2	1	0	2	3	18	7	1	0	9	4
AC021066.1	1	0	4	0	9	0	1	3	0	0
AC021066.3	0	0	3	0	10	0	1	0	0	0
KRT81	3	7	4	5	29	11	9	7	5	12
