,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
mmu05160,mmu05160,Hepatitis C,123,-0.499048583,-2.130160497,0.001798561,0.009398255,0.005638615,2355,"tags=37%, list=19%, signal=31%",Cldn15/Cldn1/Ppp2r1a/Grb2/Pik3cd/Cxcl10/Nfkbia/Cldn7/Tnfrsf1a/Ldlr/Chuk/Map2k1/Socs3/Ifit1bl2/Tlr3/Ppp2ca/Tradd/Cycs/Casp9/Mavs/Cldn23/Cldn3/Mapk3/Rxra/Nr1h3/Oas3/Stat2/Ocln/Ppp2r2c/Cdkn1a/Ddx58/Ticam1/Cldn8/Stat1/Rb1/Rnasel/Fas/Irf9/Rsad2/Oas2/Ppara/Ifit1bl1/Oas1a/Irf7/Oas1g/Ifit1
mmu04612,mmu04612,Antigen processing and presentation,51,-0.589930402,-2.148420208,0.001865672,0.009398255,0.005638615,1028,"tags=35%, list=8%, signal=33%",Psme2/Psme2b/Ctsb/Lgmn/Tapbp/H2-Q4/H2-T22/H2-T23/Tap2/H2-K1/H2-Q7/Tap1/H2-T3/H2-Q2/B2m/H2-Q6/Ctss/H2-Q1
mmu04975,mmu04975,Fat digestion and absorption,29,-0.687477646,-2.153784115,0.001984127,0.009398255,0.005638615,2311,"tags=62%, list=18%, signal=51%",Mogat2/Agpat2/Apob/Dgat2/Plpp2/Mttp/Abcg8/Plpp3/Abcg5/Plpp1/Apoa1/Fabp2/Agpat1/Dgat1/Pla2g12b/Slc27a4/Apoa4/Npc1l1
mmu05332,mmu05332,Graft-versus-host disease,21,-0.734265023,-2.154937705,0.001956947,0.009398255,0.005638615,585,"tags=48%, list=5%, signal=45%",H2-Q4/H2-T22/H2-T23/H2-K1/Fas/H2-Q7/H2-T3/H2-Q2/H2-Q6/H2-Q1
mmu00040,mmu00040,Pentose and glucuronate interconversions,22,-0.733682032,-2.156937939,0.002012072,0.009398255,0.005638615,2061,"tags=59%, list=16%, signal=49%",Ugp2/Ugt2b1/Dcxr/Ugt2b35/Akr1b7/Sord/Cryl1/Ugt1a7c/Ugt1a1/Ugdh/Ugt2b34/Ugt2b36/Ugt2b5
mmu05320,mmu05320,Autoimmune thyroid disease,20,-0.751492792,-2.168744433,0.002,0.009398255,0.005638615,585,"tags=50%, list=5%, signal=48%",H2-Q4/H2-T22/H2-T23/H2-K1/Fas/H2-Q7/H2-T3/H2-Q2/H2-Q6/H2-Q1
mmu04714,mmu04714,Thermogenesis,197,-0.477829125,-2.178006041,0.001733102,0.009398255,0.005638615,2914,"tags=49%, list=23%, signal=38%",Prkg2/Ndufb3/Ndufs4/Prkaa1/Prkab1/Bmp8a/Rps6ka3/Cox11/Uqcrc1/Ndufaf3/Creb3/Ndufa12/Mtor/Ndufa9/Coa5/Ndufs8/Ndufa2/Ndufa10/Ndufs6/Grb2/Ndufa8/Atp5b/Ndufv1/Ndufa5/Ndufs5/Prkaca/Ndufv3/Lipe/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atp5d/Ndufs2/Ndufa11/Ndufb4/Cyc1/Prkag2/COX3/Atp5g3/Atp5l/Atp5g1/Rps6ka1/Ndufb8/Atp5c1/Ndufaf8/Uqcr11/Ndufb5/Atp5j/Pparg/Cox6c/Actg1/Ndufb6/Cox5b/Ndufb9/Uqcr10/Sdha/Ndufv2/Ndufc2/Coa3/Coa4/Atp5e/Cox7b/Ndufa13/Atp5j2/Atp5h/Mapk13/Cox7a2l/Atp5o/Cpt1c/Gcg/Cox7c/Ndufs7/Pnpla2/Cox4i1/Ndufa6/Cox5a/Ndufc1/Uqcrq/Cox8a/Ndufb10/Cox14/Cpt2/Sdhc/Cox7a2/Uqcrfs1/Uqcrh/Ndufa1/Cpt1a/Cox6a1/Prkaa2/Ppargc1a/Dpf3/Uqcrb/Slc25a20/Sdhb/Cox7a1
mmu00980,mmu00980,Metabolism of xenobiotics by cytochrome P450,47,-0.613270462,-2.178882343,0.001937984,0.009398255,0.005638615,1459,"tags=45%, list=12%, signal=40%",Cyp1a1/Gsto1/Ephx1/Gm3776/Ugt2b35/Mgst2/Gsta1/Gstt1/Mgst1/Aldh3b3/Gstt2/Aldh3b2/Aldh3b1/Ugt1a7c/Cyp2f2/Ugt1a1/Gstk1/Ugt2b34/Ugt2b36/Ugt2b5/Adh1
mmu04260,mmu04260,Cardiac muscle contraction,50,-0.604526288,-2.188660041,0.001879699,0.009398255,0.005638615,1994,"tags=58%, list=16%, signal=49%",Uqcrc2/Slc9a1/Slc9a6/Cyc1/COX3/Uqcr11/Cox6c/Cox5b/Uqcr10/Slc8a3/Cox7b/Cox7a2l/Hrc/Cox7c/Cox4i1/Cox5a/Uqcrq/Cox8a/Cox7a2/Uqcrfs1/Uqcrh/Cox6a1/Uqcrb/Slc8a1/Cox7a1/Cacna2d2/Atp1b1/Atp1a1/Ryr2
mmu00982,mmu00982,Drug metabolism - cytochrome P450,43,-0.636854034,-2.226298785,0.001886792,0.009398255,0.005638615,1417,"tags=63%, list=11%, signal=56%",Fmo4/Gstm4/Mgst3/Gstm5/Gsta4/Ugt2b1/Maob/Gsto1/Gm3776/Ugt2b35/Mgst2/Gsta1/Gstt1/Mgst1/Aldh3b3/Gstt2/Maoa/Aldh3b2/Aldh3b1/Ugt1a7c/Ugt1a1/Gstk1/Ugt2b34/Ugt2b36/Fmo5/Ugt2b5/Adh1
mmu00983,mmu00983,Drug metabolism - other enzymes,71,-0.577414527,-2.245722032,0.001821494,0.009398255,0.005638615,1212,"tags=35%, list=10%, signal=32%",Gm3776/Ugt2b35/Ces1e/Cda/Mgst2/Gsta1/Nat2/Cmpk1/Gstt1/Mgst1/Xdh/Gstt2/Tymp/Upp1/Ces1d/Ugt1a7c/Ugt1a1/Ugt2b34/Ugt2b36/Dpyd/Ces2b/Ces2e/Ces2c/Ugt2b5/Ces2a
mmu03320,mmu03320,PPAR signaling pathway,58,-0.6179384,-2.300817915,0.001886792,0.009398255,0.005638615,2349,"tags=55%, list=19%, signal=45%",Lpl/Hmgcs1/Olr1/Slc27a2/Gk/Acox3/Ubc/Pparg/Pck1/Acadm/Cpt1c/Scd1/Apoa1/Fabp2/Cpt2/Dbi/Rxra/Nr1h3/Cpt1a/Scp2/Sorbs1/Cyp27a1/Angptl4/Acox1/Aqp7/Hmgcs2/Slc27a4/Acaa1b/Apoc3/Me3/Ehhadh/Ppara
mmu04978,mmu04978,Mineral absorption,40,-0.669811944,-2.307280549,0.001915709,0.009398255,0.005638615,1395,"tags=50%, list=11%, signal=45%",Slc8a3/Ftl1/Slc26a6/Slc30a1/Slc11a2/Trpm6/Slc31a1/Atp2b1/Slc34a2/Slc26a3/Slc8a1/Slc39a4/Clcn2/Vdr/Atp1b1/Atp1a1/Fth1/Slc40a1/Slc5a1/Slc9a3
mmu04146,mmu04146,Peroxisome,78,-0.596194344,-2.351600161,0.001886792,0.009398255,0.005638615,2639,"tags=56%, list=21%, signal=45%",Acot8/Hsd17b4/Acox2/Sod2/Idh1/Mlycd/Dhrs4/Pex19/Pmvk/Slc27a2/Abcd1/Abcd4/Acox3/Mpv17l2/Ech1/Nudt19/Pex14/Mpv17l/Sod1/Crot/Pxmp4/Amacr/Crat/Abcd3/Pex16/Nudt7/Pex11a/Decr2/Dao/Cat/Xdh/Scp2/Prdx5/Hmgcl/Acox1/Baat/Eci3/Ephx2/Gstk1/Acaa1b/Phyh/Ehhadh/Hao2/Pipox
mmu05204,mmu05204,Chemical carcinogenesis - DNA adducts,50,-0.652648413,-2.362884018,0.001879699,0.009398255,0.005638615,2529,"tags=64%, list=20%, signal=51%",Gstm4/Mgst3/Gstm5/Cyp2c23/Gsta4/Ugt2b1/Cyp3a25/Cyp3a11/Cyp1a1/Gsto1/Ephx1/Gm3776/Ugt2b35/Cyp2c68/Mgst2/Gsta1/Nat2/Gstt1/Mgst1/Sult1a1/Gstt2/Ugt1a7c/Cyp2c55/Cyp2c66/Ugt1a1/Cyp2c29/Gstk1/Ugt2b34/Ugt2b36/Ugt2b5/Cyp3a13/Cyp2c65
mmu04142,mmu04142,Lysosome,117,-0.559003954,-2.373381726,0.001760563,0.009398255,0.005638615,2833,"tags=56%, list=23%, signal=43%",Cltc/Arsa/Ap1g1/Ap1s3/Naglu/Mcoln1/Gns/Gaa/Ppt2/Laptm4b/Ap1b1/Aga/Atp6v0c/Ap3m2/Manba/Ap3s1/Wdr7/Slc17a5/Ctns/Arsb/Npc2/Npc1/Atp6ap1/Igf2r/Asah1/Cln3/Laptm4a/Ppt1/Cd63/Psap/Glb1/Sumf1/Clta/Ap3b1/Lipa/Tpp1/Hexa/Abcb9/Mfsd8/Cln5/Lamp2/Gba/Ctsz/Lamp1/Atp6v0b/Slc11a2/Gnptg/Neu1/Atp6v0d1/Smpd1/Man2b1/Ctsb/Idua/Lgmn/Ctsd/Hexb/Naga/Fuca2/Atp6v0a2/Ctsa/Fuca1/Ctso/Acp5/Sort1/Ctss
mmu05415,mmu05415,Diabetic cardiomyopathy,164,-0.53895101,-2.403618731,0.001769912,0.009398255,0.005638615,2692,"tags=55%, list=21%, signal=44%",Pik3r3/Uqcrc1/Pten/Ndufa12/Gsk3b/Mtor/Ndufa9/Atp2a3/Gapdh/Ndufs8/Ndufa2/Ndufa10/Ndufs6/Ndufa8/Pik3cd/Atp5b/Ndufv1/Ndufa5/Ndufs5/Ndufv3/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atp5d/Ndufs2/Ndufa11/Ndufb4/Cyc1/COX3/Atp5g3/Atp5g1/Ppp1cb/Rac1/Insr/Camk2d/Ndufb8/Atp5c1/Uqcr11/Ndufb5/Atp5j/Cox6c/Ndufb6/Ncf2/Cox5b/Ndufb9/Uqcr10/Sdha/Ndufv2/Ndufc2/Atp5e/Cox7b/Ndufa13/Slc25a5/Atp5h/Mpc2/Mapk13/Cox7a2l/Atp5o/Cox7c/Ndufs7/Prkcz/Slc2a1/Cox4i1/Vdac3/Mpc1/Ndufa6/Cox5a/Ndufc1/Uqcrq/Cox8a/Ndufb10/Cpt2/Sdhc/Cox7a2/Uqcrfs1/Uqcrh/Ndufa1/Pdk2/Ctsd/Ppif/Cox6a1/Ace/Uqcrb/Cyba/Sdhb/Gfpt1/Cox7a1/Ryr2/Ppara
mmu05208,mmu05208,Chemical carcinogenesis - reactive oxygen species,197,-0.537424747,-2.449650478,0.001733102,0.009398255,0.005638615,2529,"tags=53%, list=20%, signal=43%",Gstm4/Ndufa12/Ndufa9/Ndufs8/Mgst3/Hmox1/Keap1/Sod2/Akr1a1/Ndufa2/Ndufa10/Gstm5/Ndufs6/Grb2/Src/Ndufa8/Pik3cd/Nfkbia/Atp5b/Ndufv1/Gsta4/Ndufa5/Ndufs5/Ndufv3/Uqcrc2/Atp5a1/Sdhd/Ndufb7/Atp5d/Foxo3/Ndufs2/Ndufa11/Ndufb4/Cyc1/COX3/Atp5g3/Chuk/Atp5g1/Map2k1/Rac1/Ndufb8/Atp5c1/Sod1/Uqcr11/Ndufb5/Atp5j/Cox6c/Ndufb6/Ncf2/Cox5b/Cyp1a1/Ndufb9/Uqcr10/Sdha/Ndufv2/Ndufc2/Gsto1/Nfe2l2/Atp5e/Cox7b/Ndufa13/Slc25a5/Atp5h/Mapk13/Cox7a2l/Ephx1/Atp5o/Gm3776/Cox7c/Ndufs7/As3mt/Cox4i1/Vdac3/Ndufa6/Ptprj/Slc26a2/Cox5a/Ndufc1/Slc26a6/Uqcrq/Cox8a/Ndufb10/Mapk3/Sdhc/Cox7a2/Uqcrfs1/Mgst2/Uqcrh/Ndufa1/Cat/Gsta1/Ppif/Cox6a1/Gstt1/Mgst1/Uqcrb/Cyba/Gstt2/Lpo/Sdhb/Cox7a1/Cyp2f2/Ephx2/Pld1
mmu00140,mmu00140,Steroid hormone biosynthesis,45,-0.699610864,-2.469929677,0.001901141,0.009398255,0.005638615,2089,"tags=67%, list=17%, signal=56%",Srd5a3/Ugt2b1/Hsd3b2/Cyp3a25/Cyp3a11/Cyp2b9/Cyp1a1/Hsd17b7/Hsd3b3/Ugt2b35/Cyp2c68/Cyp2d34/Cyp2b10/Cyp2d12/Ugt1a7c/Cyp2c55/Cyp2c66/Ugt1a1/Sult2b1/Cyp2c29/Dhrs11/Ugt2b34/Ugt2b36/Cyp2d9/Ugt2b5/Cyp2d10/Cyp3a13/Cyp2d26/Cyp2c65/Hsd17b2
mmu00830,mmu00830,Retinol metabolism,47,-0.699205461,-2.484199922,0.001937984,0.009398255,0.005638615,2268,"tags=68%, list=18%, signal=56%",Cyp2c23/Dhrs4/Ugt2b1/Cyp3a25/Bco1/Dhrs3/Cyp3a11/Cyp2b9/Cyp1a1/Ugt2b35/Cyp2c68/Rdh9/Rdh5/Dgat1/Rdh16/Cyp2b10/Rdh7/Aldh1a7/Retsat/Ugt1a7c/Cyp2c55/Cyp2c66/Ugt1a1/Cyp2c29/Cyp26b1/Ugt2b34/Ugt2b36/Aldh1a1/Ugt2b5/Cyp3a13/Cyp2c65/Adh1
mmu04932,mmu04932,Non-alcoholic fatty liver disease,132,-0.580752231,-2.508034467,0.001824818,0.009398255,0.005638615,2872,"tags=64%, list=23%, signal=50%",Ndufb3/Ndufs4/Prkaa1/Prkab1/Pik3r3/Uqcrc1/Ndufa12/Gsk3b/Ndufa9/Ndufs8/Pklr/Ndufa2/Ndufa10/Ndufs6/Ndufa8/Pik3cd/Ndufv1/Ndufa5/Ndufs5/Tnfrsf1a/Ndufv3/Uqcrc2/Sdhd/Ndufb7/Ndufs2/Itch/Ndufa11/Ndufb4/Cyc1/Prkag2/Mlxipl/COX3/Map3k11/Rac1/Insr/Socs3/Ndufb8/Uqcr11/Cdc42/Ndufb5/Pparg/Cox6c/Ndufb6/Adipor1/Cox5b/Ndufb9/Uqcr10/Sdha/Ndufv2/Ndufc2/Cox7b/Ndufa13/Irs2/Mapk13/Cox7a2l/Cycs/Ern1/Cox7c/Ndufs7/Cox4i1/Ndufa6/Cox5a/Ndufc1/Uqcrq/Cox8a/Ndufb10/Mlx/Sdhc/Cox7a2/Rxra/Uqcrfs1/Uqcrh/Ndufa1/Nr1h3/Cox6a1/Prkaa2/Uqcrb/Ddit3/Cebpa/Casp7/Sdhb/Cox7a1/Fas/Ppara
mmu04976,mmu04976,Bile secretion,56,-0.711713502,-2.636717912,0.001865672,0.009398255,0.005638615,2091,"tags=61%, list=17%, signal=51%",Aqp8/Prkaca/Ugt2b1/Sct/Slc9a1/Ldlr/Slc4a5/Slc4a4/Abcg8/Abcg5/Ephx1/Ugt2b35/Slc2a1/Slc22a1/Abcc2/Rxra/Slc10a2/Abcc3/Baat/Slc4a2/Ugt1a7c/Ugt1a1/Atp1b1/Atp1a1/Aqp4/Ugt2b34/Ugt2b36/Abcg2/Ugt2b5/Nr1h4/Slc5a1/Slc51a/Slc51b/Slc9a3
mmu00190,mmu00190,Oxidative phosphorylation,112,-0.667354359,-2.808670611,0.00177305,0.009398255,0.005638615,2922,"tags=72%, list=23%, signal=56%",Ppa2/Ndufb3/Ndufs4/Atp6v1f/Cox11/Uqcrc1/Ndufa12/Ndufa9/Ndufs8/Atp6v0c/Ndufa2/Ndufa10/Ndufs6/Ndufa8/Atp5b/Ndufv1/Ndufa5/Ndufs5/Ndufv3/Uqcrc2/Atp5a1/Sdhd/Atp6v1g1/Ndufb7/Atp5d/Atp6v1d/Ndufs2/Ndufa11/Ndufb4/Cyc1/COX3/Atp5g3/Atp6ap1/Atp5l/Atp5g1/Ndufb8/Atp5c1/Uqcr11/Ndufb5/Atp5j/Atp6v1e1/Cox6c/Ndufb6/Atp6v1a/Cox5b/Atp6v0e/Ndufb9/Uqcr10/Sdha/Ndufv2/Ndufc2/Atp5e/Cox7b/Ndufa13/Atp5j2/Atp5h/Cox7a2l/Atp5o/Cycs/Cox7c/Ndufs7/Cox4i1/Ndufa6/Cox5a/Ndufc1/Atp6v0b/Uqcrq/Cox8a/Ndufb10/Sdhc/Cox7a2/Uqcrfs1/Uqcrh/Ndufa1/Atp6v0d1/Cox6a1/Uqcrb/Atp6v0a2/Sdhb/Cox7a1/Atp6v0e2
